Name of State / UT,Total Confirmed cases (Including 111 foreign Nationals) ,Cured/Discharged/Migrated,Death,Date,Total cases,Active cases
Andaman and Nicobar Islands,33,32,0,2020-05-06,33,1
Andhra Pradesh,1717,589,36,2020-05-06,1717,1092
Arunachal Pradesh,1,1,0,2020-05-06,1,0
Assam,43,32,1,2020-05-06,43,10
Bihar,536,142,4,2020-05-06,536,390
Chandigarh,111,21,1,2020-05-06,111,89
Chhattisgarh,59,36,0,2020-05-06,59,23
Dadar Nagar Haveli,1,0,0,2020-05-06,1,1
Delhi,5104,1468,64,2020-05-06,5104,3572
Goa,7,7,0,2020-05-06,7,0
Gujarat,6245,1381,368,2020-05-06,6245,4496
Haryana,548,256,6,2020-05-06,548,286
Himachal Pradesh,42,38,2,2020-05-06,42,2
Jammu and Kashmir,741,320,8,2020-05-06,741,413
Jharkhand,125,33,3,2020-05-06,125,89
Karnataka,671,331,29,2020-05-06,671,311
Kerala,502,462,4,2020-05-06,502,36
Ladakh,41,17,0,2020-05-06,41,24
Madhya Pradesh,3049,1000,176,2020-05-06,3049,1873
Maharashtra,15525,2819,617,2020-05-06,15525,12089
Manipur,2,2,0,2020-05-06,2,0
Meghalaya,12,10,1,2020-05-06,12,1
Mizoram,1,0,0,2020-05-06,1,1
Odisha,175,60,1,2020-05-06,175,114
Puducherry,9,6,0,2020-05-06,9,3
Punjab,1451,133,25,2020-05-06,1451,1293
Rajasthan,3158,1525,89,2020-05-06,3158,1544
Tamil Nadu,4058,1485,33,2020-05-06,4058,2540
Telengana,1096,585,29,2020-05-06,1096,482
Tripura,43,2,0,2020-05-06,43,41
Uttar Pradesh,2880,987,56,2020-05-06,2880,1837
Uttarakhand,61,39,1,2020-05-06,61,21
West Bengal,1344,364,140,2020-05-06,1344,840
