,State/UT,Date,Latitude,Longitude,Confirmed,Active,Deaths,Mortality rate,Cured,Recovery rate,New cases
0,Andaman and Nicobar Islands,2020-05-06,11.7401,92.6586,33,1,0,0.0,32,0.9696969696969697,0.0
1,Andhra Pradesh,2020-05-06,15.9129,79.74,1717,1092,36,0.020966802562609202,589,0.34304018637157835,67.0
2,Arunachal Pradesh,2020-05-06,28.218000000000004,94.7278,1,0,0,0.0,1,1.0,0.0
3,Assam,2020-05-06,26.2006,92.9376,43,10,1,0.023255813953488372,32,0.7441860465116279,0.0
4,Bihar,2020-05-06,25.0961,85.3131,536,390,4,0.007462686567164179,142,0.26492537313432835,8.0
5,Chandigarh,2020-05-06,30.7333,76.7794,111,89,1,0.009009009009009009,21,0.1891891891891892,9.0
6,Chhattisgarh,2020-05-06,21.2787,81.8661,59,23,0,0.0,36,0.6101694915254238,1.0
7,Dadar Nagar Haveli,2020-05-06,20.1809,73.0169,1,1,0,0.0,0,0.0,1.0
8,Delhi,2020-05-06,28.7041,77.1025,5104,3572,64,0.012539184952978056,1468,0.28761755485893414,206.0
9,Goa,2020-05-06,15.2993,74.124,7,0,0,0.0,7,1.0,0.0
10,Gujarat,2020-05-06,22.2587,71.1924,6245,4496,368,0.0589271417133707,1381,0.2211369095276221,441.0
11,Haryana,2020-05-06,29.0588,76.0856,548,286,6,0.010948905109489052,256,0.46715328467153283,31.0
12,Himachal Pradesh,2020-05-06,31.1048,77.1734,42,2,2,0.047619047619047616,38,0.9047619047619048,1.0
13,Jammu and Kashmir,2020-05-06,33.7782,76.5762,741,413,8,0.010796221322537112,320,0.4318488529014845,15.0
14,Jharkhand,2020-05-06,23.6102,85.2799,125,89,3,0.024,33,0.264,10.0
15,Karnataka,2020-05-06,15.3173,75.7139,671,311,29,0.043219076005961254,331,0.4932935916542474,20.0
16,Kerala,2020-05-06,10.8505,76.2711,502,36,4,0.00796812749003984,462,0.9203187250996016,2.0
17,Ladakh,2020-05-06,34.2996,78.2932,41,24,0,0.0,17,0.4146341463414634,0.0
18,Madhya Pradesh,2020-05-06,22.9734,78.6569,3049,1873,176,0.05772384388324041,1000,0.3279763857002296,107.0
19,Maharashtra,2020-05-06,19.7515,75.7139,15525,12089,617,0.039742351046698876,2819,0.18157809983896941,984.0
20,Manipur,2020-05-06,24.6637,93.9063,2,0,0,0.0,2,1.0,0.0
21,Meghalaya,2020-05-06,25.467,91.3662,12,1,1,0.08333333333333333,10,0.8333333333333334,0.0
22,Mizoram,2020-05-06,23.1645,92.9376,1,1,0,0.0,0,0.0,0.0
23,Odisha,2020-05-06,20.9517,85.0985,175,114,1,0.005714285714285714,60,0.34285714285714286,6.0
24,Puducherry,2020-05-06,11.9416,79.8083,9,3,0,0.0,6,0.6666666666666666,1.0
25,Punjab,2020-05-06,31.1471,75.3412,1451,1293,25,0.01722949689869056,133,0.09166092350103378,218.0
26,Rajasthan,2020-05-06,27.0238,74.2179,3158,1544,89,0.02818239392020266,1525,0.4829005699810006,97.0
27,Tamil Nadu,2020-05-06,11.1271,78.6569,4058,2540,33,0.008132084770823066,1485,0.36594381468703796,508.0
28,Telengana,2020-05-06,18.1124,79.0193,1096,482,29,0.02645985401459854,585,0.5337591240875912,11.0
29,Tripura,2020-05-06,23.9408,91.9882,43,41,0,0.0,2,0.046511627906976744,14.0
30,Uttar Pradesh,2020-05-06,26.8467,80.9462,2880,1837,56,0.019444444444444445,987,0.34270833333333334,114.0
31,Uttarakhand,2020-05-06,30.0668,79.0193,61,21,1,0.01639344262295082,39,0.639344262295082,1.0
32,West Bengal,2020-05-06,22.9868,87.855,1344,840,140,0.10416666666666667,364,0.2708333333333333,85.0
